#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  CfA1_FLWO
@BAND  CfA1_FLWO_V_thick
@MAGSYS  Linear_AB11_off
49513.200000000186  15.038499999999999  0.05
49514.299999999814  14.960600000000001  0.03
49515.200000000186  14.9279  0.03
49517.200000000186  14.8403  0.06
49519.200000000186  14.85  0.04
49529.200000000186  15.2157  0.04
49536.10000000009  15.65  0.06
49538.200000000186  15.76  0.05
49541.200000000186  15.9152  0.03
49545.200000000186  16.1115  0.03
49547.200000000186  16.19  0.06
49553.200000000186  16.65  0.1
