#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4348.591078549062    All      -0.8958889699970316        0.8338158666622242         1.027283235109766          0.6092647035404866         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6301.369971724965    All      1.1597485300706554         -0.0652563609886414        0.18702148900268112        -0.3906784843862962        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5363.009323789271    All      0.2065275517804856         0.2684718041430223         -2.088460481910892         -0.07302111845578357       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8206.751466534968    All      0.5316307815897203         -0.03870770724923034       0.8956131960363045         -0.14581090585732148       
Check         All|All|All                                    All                  All      1.0020178934438297         0.9983236025673747         0.021457438237859616       -0.00024580515891470256    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4348.591078549062    All      -0.00026551951856530396    -4.374552682900359e-05     -0.0014787913418712127     6.247419511382486e-06      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6301.369971724965    All      -0.0003451184679033333     -3.4883469999592636e-06    -0.00031801546330805186    9.708860014012083e-05      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5363.009323789271    All      -0.00015665939247081493    -5.199586272157585e-05     -0.002263955859278522      -6.693759705925684e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8206.751466534968    All      -4.024219951337877e-05     8.148863426766674e-06      -6.850732939404472e-06     1.5456844471481118e-05     
MWEBV         All|All|All                                    All                  All      -0.7953325666369868        -4.042448162070844         0.31606245373702047        -1.0435879606748812        
Redshift      All|All|All                                    All                  All      5.174186193007719          1.0047775190908936         10.386656149396245         -0.8946048148044102        
