#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT WFPC2PC
@BAND  WFPC2PC_F814W
@MAGSYS  VEGAHST
@WEIGHTMAT  2001hb.F814W.cov
52041.15  0.919  0.020  23.722
52051.98  0.730  0.019  23.722
52065.23  0.431  0.014  23.722
52079.07  0.228  0.013  23.722
