#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|FORS1|FORS1_I                    3869.245809201744     All      -0.00490539965856566       -0.0010703457792970994     -0.02072542545801248       0.00032432266824783396    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_AMANULLAH_I    3929.217595848281     All      -0.17343322224038843       0.06525000406654158        -1.6676570056922468        0.0033271063606163387     
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F814W                    3980.4736815799865    All      -0.9161313075974736        0.4051630824546848         0.012331697697764987       0.43093935916506587       
Zeropoint     VEGAHST|NIRI|NIRI_J                              6178.961044222544     All      0.7936417055733069         0.058327825050419335       -0.29532353875592054       -0.25269485515714946      
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F850LP                   4505.80384460565      All      0.5187698868210242         0.37156896831689323        2.0416444011289947         0.0431610307656486        
Zeropoint     VEGAHST|ISAAC|ISAAC_Js                           6164.445953296914     All      0.7751636132642934         0.09725505648709998        -0.07505594596641796       -0.2241665216203885       
Check         All|All|All                                      All                   All      0.9931052761621971         0.9964945905963418         -0.004785817045838137      0.0008904421820406794     
Lambda        Linear_AB11_off|FORS1|FORS1_I                    3869.245809201744     All      -5.929670049583404e-06     -1.3331452069211338e-06    -2.4746907655437575e-05    3.9289853220433966e-07    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_AMANULLAH_I    3929.217595848281     All      -8.236930967988286e-05     3.9749777308459097e-05     -0.0008868374582669665     2.0272156539659543e-07    
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F814W                    3980.4736815799865    All      -0.0008925698627336949     0.00021513038568339444     -0.0015956865210334727     0.0002896062524545614     
Lambda        VEGAHST|NIRI|NIRI_J                              6178.961044222544     All      -3.570307426085591e-05     -8.488940288159787e-07     0.0002532000080625315      2.2652306624301873e-05    
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F850LP                   4505.80384460565      All      -2.3510028843258616e-05    2.7407157472553027e-05     0.000289887660385217       2.9521757585858756e-05    
Lambda        VEGAHST|ISAAC|ISAAC_Js                           6164.445953296914     All      -8.644607796770614e-05     -1.2901823414470021e-05    -7.221964892950411e-05     2.073295200322282e-05     
MWEBV         All|All|All                                      All                   All      -0.08419319397171576       -1.4743247408997462        0.07443474983530596        -0.44948989778520965      
Redshift      All|All|All                                      All                   All      3.2425672474276013         0.28146064315581754        -0.7731411449668713        -0.9990315769160408       
