#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|FORS1|FORS1_I                    3869.245809201744     All      -0.0019639767583413434     -0.00018251795754764544    -0.011229511032493259      7.91582375707236e-05      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_AMANULLAH_I    3929.217595848281     All      -0.0688447488072615        0.07952502060319944        -1.0272905033191393        0.0024856581289051573     
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F814W                    3980.4736815799865    All      -1.032244891552567         0.4335426880818005         0.5492741725543905         0.5019668212619932        
Zeropoint     VEGAHST|NIRI|NIRI_J                              6178.961044222544     All      0.8878848810519274         0.059419903758062276       -0.0423483790818291        -0.271748112452142        
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F850LP                   4505.80384460565      All      0.4341027144249301         0.3430202385542813         0.478620590622714          -0.008309920180891522     
Zeropoint     VEGAHST|ISAAC|ISAAC_Js                           6164.445953296914     All      0.7733128642904044         0.07918781243922979        0.03509979807584303        -0.22453302264325214      
Check         All|All|All                                      All                   All      0.992246842649092          0.9945131454790257         -0.017873832180514235      -5.941764781655645e-05    
Lambda        Linear_AB11_off|FORS1|FORS1_I                    3869.245809201744     All      -2.8690937483103376e-06    -3.316699214967467e-07     -1.6690258295980373e-05    8.17128469916221e-08      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_AMANULLAH_I    3929.217595848281     All      -7.05991145607468e-05      8.177045940514188e-05      -0.0010561120386712258     2.5023533120295598e-06    
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F814W                    3980.4736815799865    All      -0.0011832180537757258     0.00026976237682588256     -0.0014362010403381744     0.0004091924716857585     
Lambda        VEGAHST|NIRI|NIRI_J                              6178.961044222544     All      7.357549761095002e-05      5.079495535151624e-06      -2.7012886053149785e-06    -2.243194743150702e-05    
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F850LP                   4505.80384460565      All      7.755534797294954e-06      6.015408521685886e-06      8.705883900188413e-06      -1.783127626329823e-07    
Lambda        VEGAHST|ISAAC|ISAAC_Js                           6164.445953296914     All      8.720196135730966e-05      8.92968698953666e-06       4.85218865816325e-06       -2.527932394840542e-05    
MWEBV         All|All|All                                      All                   All      -0.08671028680065995       -1.4745490103608816        0.029569055584705798       -0.4507451996563899       
Redshift      All|All|All                                      All                   All      3.2169199956057954         0.29810511035535114        0.22671815151488497        -0.9406366444602297       
