#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin 6349.93629954836 All 1.7190555340386817 -1.7832372928903095 -2.7151660161398485 -1.2619773847362055
Zeropoint Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin 5405.536692264597 All 1.3272268546900337 0.6715969179140728 6.41272600229386 0.0726102689049831
Zeropoint Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin 4379.425979010595 All -1.1410143418475724 0.3827726991540601 -1.5534505692360907 0.42702420619423065
Check All|All|All All All 1.9052680468811434 -0.7288676758221766 2.144109416917921 -0.7623429096369918
