#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin 6349.93629954836 All 1.9526302648472091 -2.1370712141438593 -3.56474493836162 -1.4912285132073648
Zeropoint Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin 5405.536692264597 All 1.5337662364139617 0.8042149712102704 8.140844467947495 0.1256496504576924
Zeropoint Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin 4379.425979010595 All -1.0991662696162297 0.30490585368213896 -1.8297681883783483 0.3756983327330733
Check All|All|All All All 2.3872302316449403 -1.0279503892514499 2.7463313412075268 -0.989880530016599
