#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                   ds/dP                     dc/dP                   
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5424.690540149956    All      0.8710787269561743      1.0600055798559938       -0.004843424531415706     0.0613235517065197      
Check         All|All|All                           All                  All      0.8710787269561743      1.0600055798559938       -0.004843424531415706     0.0613235517065197      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5424.690540149956    All      0.019236585367172862    -0.008599402589116041    2.0221896203160737e-05    -0.00906619464381403    
MWEBV         All|All|All                           All                  All      -1.1211778579310918     -3.9645511379500675      -0.004006311612218012     -0.926359004791482      
Redshift      All|All|All                           All                  All      -68.50324682356035      30.749114778031306       -7.106494246324677        32.012629280079864      
