#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                   ds/dP                    dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5424.690540149956    All      0.927615216107373       1.0449173228914699       0.0021284567808171895    0.03830413855474557      
Check         All|All|All                           All                  All      0.927615216107373       1.0449173228914699       0.0021284567808171895    0.03830413855474557      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5424.690540149956    All      0.025146098872827143    -0.011879785146048477    4.828987045075947e-05    -0.012058393585219502    
MWEBV         All|All|All                           All                  All      -1.5799993847981102     -3.6643220803902032      0.01795283109631285      -0.6781313217367746      
Redshift      All|All|All                           All                  All      -107.13669013834573     49.06742877917747        -11.749334146775592      50.356501674076526       
