#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                       8272.992195424695     All      0.1368208601747904         -0.024910007697798164      0.06956893175490084        -0.04957652254793718      
Zeropoint     AB|PS|PS_i                       7198.638536544186     All      0.29915830990890663        -0.04421931407048163       0.1700523305566113         -0.10426073442773047      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7215.588176017289     All      0.2761206796216946         -0.04069305014997582       0.15542587158742574        -0.09626071184501404      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4189.458972010668     All      -0.4137976880344959        0.29756216774909916        0.029636750657036276       0.2330358601379834        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5250.1651581627175    All      0.11345208029705334        0.15443092719085172        0.00753792056110374        0.013684541371553614      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5946.211946563544     All      0.4843574438873691         -0.001511057849334918      -0.04927650274333347       -0.16046233961320547      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4510.790145357751     All      -0.42767584969229955       0.3233684961045924         -0.17734196535096552       0.23672589463967744       
Zeropoint     AB|PS|PS_r                       5943.31243067234      All      0.794017353152668          0.021212238518319992       -0.34967669274547253       -0.26733251515976475      
Zeropoint     AB|PS|PS_g                       4680.023731003092     All      -0.26472240772040495       0.31113759141359054        0.1443461559420777         0.19401805293096422       
Check         All|All|All                      All                   All      0.9977307815952817         0.9963779912088633         0.0002728002193841117      -0.0004284745134732204    
Lambda        AB|PS|PS_z                       8272.992195424695     All      0.00010050876131681742     -1.8808665058785295e-05    4.7439184770806874e-05     -3.674861826123849e-05    
Lambda        AB|PS|PS_i                       7198.638536544186     All      -0.00014042453424502725    -2.7697242306685156e-06    -0.00031426129873727193    3.081466191770439e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7215.588176017289     All      -8.965118827472e-05        -3.327109052028124e-06     -0.0002147474796404118     1.8535398863829143e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4189.458972010668     All      -0.00019109135220295187    0.00011311210406461818     -9.722835985159939e-05     9.475021855631953e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5250.1651581627175    All      -3.9328708169540506e-05    3.740679884337913e-05      -0.0005704875298554503     -4.62959145692852e-07     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5946.211946563544     All      -6.782679184509231e-05     -1.4430992293822673e-05    -0.00023395487468804135    6.95243704202214e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4510.790145357751     All      -0.00015805050300700884    3.8703126802323326e-05     -0.00042618895150187976    4.507027474057806e-05     
Lambda        AB|PS|PS_r                       5943.31243067234      All      -0.00024056092072914233    -3.576910380821771e-05     -0.0008593036427321999     2.836065728554177e-05     
Lambda        AB|PS|PS_g                       4680.023731003092     All      -5.2233933992004654e-05    -2.88580116735668e-06      -0.00020673611584679167    6.848627020728833e-06     
MWEBV         All|All|All                      All                   All      -0.7560036457307389        -3.903872210739223         0.05824912340239094        -1.0227649625740576       
Redshift      All|All|All                      All                   All      7.640203458835125          0.2203393406638554         13.321922877220793         -1.8223976169355118       
