#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                       8272.992195424695     All      0.09209193387885209        -0.01705006742245274       0.054846849357459426       -0.03310357750466869       
Zeropoint     AB|PS|PS_i                       7198.638536544186     All      0.2653338920857697         -0.035793942748885144      0.21237026642848544        -0.08861013300780207       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7215.588176017289     All      0.33093897150133084        -0.04157485018261298       0.29006775552575803        -0.10839561536707329       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4189.458972010668     All      -0.405134872691566         0.28758789331275736        0.01916160382753329        0.2264976891624415         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5250.1651581627175    All      0.17338400377089322        0.18921582486637334        -2.1298711927464353e-05    0.005155994518549201       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5946.211946563544     All      0.5984965893956318         -0.008265382749694794      0.027141625234561317       -0.1964311301264468        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4510.790145357751     All      -0.45461893742499837       0.31266293421756686        -0.3167567822966566        0.23579354803515418        
Zeropoint     AB|PS|PS_r                       5943.31243067234      All      0.6762986259820016         0.019054157662701243       -0.33159491078089687       -0.22888370394015742       
Zeropoint     AB|PS|PS_g                       4680.023731003092     All      -0.272278110231699         0.28825916437806853        0.056725044813465964       0.1851168096902972         
Check         All|All|All                      All                   All      1.004512096266216          0.9940957313338217         0.011940153397782538       -0.0028601185397061912     
Lambda        AB|PS|PS_z                       8272.992195424695     All      9.773945917937956e-05      -2.2010036684901374e-05    2.169231732792224e-05      -3.8038321951255895e-05    
Lambda        AB|PS|PS_i                       7198.638536544186     All      -0.00013563043175645923    -1.2865100109316368e-05    -0.00042807027476490637    2.088589706982107e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7215.588176017289     All      -0.00015905470299535155    -6.006529311881117e-06     -0.0004383816280619417     3.0289866657649648e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4189.458972010668     All      -0.00016769852895082848    0.00010211849067525002     -7.956799208455233e-05     8.433752596433058e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5250.1651581627175    All      -9.924837764768778e-05     4.80090391946847e-05       -0.000974191739009658      4.4928822794948904e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5946.211946563544     All      -0.0001353105296773185     -1.7521734332128532e-05    -0.00047873474541201225    1.7003952841610514e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4510.790145357751     All      -0.0001725271864166253     3.8894621087355995e-05     -0.00043261478162955383    4.956142749860991e-05      
Lambda        AB|PS|PS_r                       5943.31243067234      All      -0.00019671929878677861    -3.31413996126076e-05      -0.0007194116150897927     2.11786670706415e-05       
Lambda        AB|PS|PS_g                       4680.023731003092     All      -5.641581104088537e-05     1.4095958071487013e-05     -0.00021230632124656082    1.3493746938629821e-05     
MWEBV         All|All|All                      All                   All      -0.7613592510439839        -3.904392722323813         0.04042079810451238        -1.0219856097522837        
Redshift      All|All|All                      All                   All      8.898571581524747          -0.0039864122198807195     16.989692744393146         -2.1416840676751683        
