#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4266.475667718873    All      -0.6778371166081958        0.40579722235269955       0.03415973074072813        0.3544997466033796         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6055.523816942165    All      1.1896774451033174         -0.0812728257793438       0.011589516136682023       -0.41347312937196606       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4593.714015563801    All      -0.657868563194903         0.5169503318572133        -0.2030714304247745        0.37361501924557733        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7348.235556650625    All      0.46732873550342224        -0.08485888060008051      0.16368240544715879        -0.1725612790088736        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5346.681289506993    All      0.6779469001063314         0.24050680732905505       -0.004365821045716809      -0.14268345611092495       
Check         All|All|All                      All                  All      0.9992474009099719         0.9971226551595436        0.001994400854077652       -0.0006030986428077201     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4266.475667718873    All      -0.00035530255972509564    0.00013055961507147453    -0.00020488831185556602    0.00014911807038187544     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6055.523816942165    All      -0.00018786792834182104    -1.140030074562969e-05    -0.0006550746708049726     2.8248338011697097e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4593.714015563801    All      -0.00028507337697767244    9.08227024692442e-05      -0.0007321226129737701     8.977044999006844e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7348.235556650625    All      -5.230095806873341e-05     -7.288842966567469e-06    -0.0004916476789101409     -7.278051110268199e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5346.681289506993    All      0.00017377720233652887     1.3277310344254837e-05    -0.0012661362756205342     -0.00010878194193885577    
MWEBV         All|All|All                      All                  All      -0.838059222454882         -3.9806995507512433       0.017188751927845927       -1.0228942896684843        
Redshift      All|All|All                      All                  All      6.646263676400256          -1.4039781847046129       8.889522179141473          -2.2255300724959244        
