#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4266.475667718873    All      -0.6614098407814892        0.40295157293970263        0.009485343804693791       0.34712081622880614        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6055.523816942165    All      1.1913407525918271         -0.07934488962941799       0.1376453489874807         -0.4077616382442868        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4593.714015563801    All      -0.7169409085978175        0.5241870837580542         -0.39534234870246543       0.38663390572756806        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7348.235556650625    All      0.5092543509532992         -0.0929954812523448        0.22245020204518795        -0.18624565293988704       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5346.681289506993    All      0.6820480509885335         0.2405579981465955         0.03575789982475097        -0.14221212396284924       
Check         All|All|All                      All                  All      1.0042924051543534         0.9953562839625896         0.009996445959647993       -0.0024646931906488756     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4266.475667718873    All      -0.00035992369109747726    0.0001325346792658048      -0.00021342388564102893    0.0001508857648307691      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6055.523816942165    All      -0.00014171086902793113    -2.0643184056993786e-05    -0.00042721185369852115    2.037122508607164e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4593.714015563801    All      -0.0002995339232144977     7.35679971252118e-05       -0.0007439321350552167     8.833329571242502e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7348.235556650625    All      -2.6029192424036528e-05    -1.1867459748781834e-05    -0.0003763462975325417     -1.2181664523356197e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5346.681289506993    All      0.0001835941880931218      6.507678992175751e-06      -0.0011977912416977442     -0.00011113482384805767    
MWEBV         All|All|All                      All                  All      -0.8411071030181296        -3.981011256893474         0.019623652394673563       -1.0218943692173532        
Redshift      All|All|All                      All                  All      6.545531465598989          -1.3594821163225745        7.500239438382739          -2.24022175207268          
