#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4891.524707675354     All      0.7826277681579815         0.3947664925295413         -1.7953678921285459        -0.2064582009283554       
Zeropoint     AB|SDSS|SDSS_g            3743.4152844599644    All      -1.0513810374197012        0.45629523723249577        0.5818138886353892         0.5170634454056173        
Zeropoint     AB|SDSS|SDSS_z            7052.449806904863     All      0.15324066410657036        0.010370735875575576       0.4166500764306779         -0.0279442565993459       
Zeropoint     AB|SDSS|SDSS_i            5931.8286595035115    All      1.1192805714598313         0.13710785246985324        0.8505275914485674         -0.2819708270232978       
Check         All|All|All               All                   All      1.0037679663046821         0.9985403181074659         0.053623664386088676       0.0006901608546182048     
Lambda        AB|SDSS|SDSS_r            4891.524707675354     All      -0.00020484111998280268    -8.436675973195635e-05     -0.00015844824980943678    3.21716449599197e-05      
Lambda        AB|SDSS|SDSS_g            3743.4152844599644    All      -0.001398339691528781      0.0005607640973987504      -0.0013735734594858356     0.0005768482817517824     
Lambda        AB|SDSS|SDSS_z            7052.449806904863     All      -4.960949834168578e-05     -4.047327487328771e-06     -0.00012915784951105763    9.077376375030004e-06     
Lambda        AB|SDSS|SDSS_i            5931.8286595035115    All      -0.000127388563614496      -2.3729072537368774e-05    -6.467968763289295e-05     3.0878949143785314e-05    
MWEBV         All|All|All               All                   All      -0.57084428914848          -2.981571438258257         0.21802892242938665        -0.7755235135950981       
Redshift      All|All|All               All                   All      3.284130917421866          -0.2505726152433496        -0.024528586414313193      -1.152463827037126        
