#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4303.137618949478    All      -1.0464440462355307        0.7109828709288557        -0.11217802604984728       0.5674457744610936         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6259.563208814472    All      1.353592115977654          -0.10360998533522903      0.07875777238755544        -0.4711440672624717        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5276.4219085342      All      0.33947652502619136        0.44845369072152863       -0.1326988859758682        0.02957570629206624        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7759.523868006873    All      0.35231268888213696        -0.05835096883526347      0.16581532614403094        -0.12636708730803525       
Check         All|All|All                       All                  All      0.998937283650452          0.9974756074798918        -0.0003038134941291126     -0.0004896738173471582     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4303.137618949478    All      -0.000354111118276664      9.989821120930085e-05     -0.0008441632746028542     0.0001102146452330208      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6259.563208814472    All      -0.00036774438629599176    -2.500675529177478e-06    -0.00032989941453276394    0.00010424999706052951     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5276.4219085342      All      -2.734497385074107e-05     3.131866776644112e-05     -0.0010877093042994195     -2.9430792531543425e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7759.523868006873    All      -7.357047562191952e-05     1.3217978081201678e-05    -2.2691440147770295e-05    2.725723987064387e-05      
MWEBV         All|All|All                       All                  All      -0.8187083176246976        -3.9736820781703486       0.04118249774803795        -1.0258409636332801        
Redshift      All|All|All                       All                  All      4.76594853868787           0.5882145729461996        2.480186315313035          -1.2501460718383663        
