#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4303.137618949478    All      -1.0574797396533133        0.7376677754483474         -0.0075157532157258365    0.58440321072023          
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6259.563208814472    All      1.3748100514613892         -0.12965754681975028       0.002706480133613167      -0.4899338144960373       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5276.4219085342      All      0.2939529992598995         0.4609268117251375         -0.16190117121447412      0.047163958309073314      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7759.523868006873    All      0.38664775723860845        -0.07045752341099387       0.1684285598848551        -0.14137803516136066      
Check         All|All|All                       All                  All      0.9979310683065838         0.9984795169427407         0.0017181155882683152     0.00025531937190542697    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4303.137618949478    All      -0.00044812359785647486    0.00017781739737960682     -0.0007496828978502023    0.0001704346704334215     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6259.563208814472    All      -0.00033529793487749516    -2.6978392669674655e-06    -0.0003518454055970089    9.263754887418159e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5276.4219085342      All      3.1006053741431736e-05     5.648724115936736e-05      -0.0010692735141983349    -3.941670489486524e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7759.523868006873    All      -6.296781639227207e-05     1.5670643016405317e-05     7.034415319383699e-06     2.5929047005678486e-05    
MWEBV         All|All|All                       All                  All      -0.8160540905059719        -3.9767160519606826        0.0366210920783626        -1.0278973523908714       
Redshift      All|All|All                       All                  All      4.470951531981273          0.10575285252265587        1.690350905496723         -1.3464562232591422       
