#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7361.196267730959     All      1.5489802198637355         -0.5880854696136417       1.3493042678041967         -0.635899350093877         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5235.264231214186     All      -0.3568792654430235        0.8895025275238666        0.09605791283298082        0.4102741781840419         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4228.888686240054     All      -0.7338393134819927        0.4889942305806194        0.03243693039121087        0.39976462655576805        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6046.2049998535895    All      0.5120592770802208         0.21427773977400477       -1.5270891343873272        -0.1651442178232182        
Check         All|All|All                                All                   All      0.9703209180189402         1.004689028264849         -0.04929002335893884       0.008995236822714747       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7361.196267730959     All      -6.932578498587217e-05     -0.0002005994165636482    -4.249110912350971e-05     -4.465632362465696e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5235.264231214186     All      -0.00036307170894433983    0.0008264022317491209     -0.0010455778259937088     0.00034079145880531683     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4228.888686240054     All      -0.0007059300739662453     0.0004390274097985053     -0.00015312811707657385    0.0003661169158714202      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6046.2049998535895    All      0.00013201488733585167     -0.0002491607611557664    0.00016036239656366544     -0.00011700521177928205    
MWEBV         All|All|All                                All                   All      -0.7046180534331592        -4.001927662750671        0.12013347406369945        -1.06868121282436          
Redshift      All|All|All                                All                   All      10.249437669631403         -3.3635541304138705       7.173944974253477          -4.114059067938941         
