#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  SDSS
@BAND  SDSS_g
@MAGSYS  AB
54357.301981  12.67  0.5445  23.897
54362.351798  11.68  0.5783  23.897
54379.34194  2.48  1.174  23.897
54382.332045  3.107  0.7194  23.897
54385.349956  1.185  0.5491  23.897
54387.350314  1.736  0.6375  23.897
54392.344808  0.5432  0.6859  23.897
54394.332693  1.213  0.7729  23.897
54402.342623  1.347  1.525  23.897
54408.256754  0.827  0.5029  23.897
54411.214599  0.7348  0.4519  23.897
54413.254991  0.6898  0.4948  23.897
54417.256819  0.9714  0.4985  23.897
54418.254725  0.5587  0.5062  23.897
54422.259289  1.51  0.9627  23.897
