#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6035.019645157569    All      1.25672417145736           0.09625884562876053        0.05189817667083363        -0.37568575753247413       
Zeropoint     AB|SDSS|SDSS_g            3808.536301112563    All      -0.9811415826374579        0.49550904792976525        0.29377242099753303        0.49410340463970204        
Zeropoint     AB|SDSS|SDSS_r            4976.618408945284    All      0.5692155751491503         0.409061173420433          -0.7390387014220734        -0.08514746052884083       
Zeropoint     AB|SDSS|SDSS_z            7175.135286986008    All      0.1504372646357876         -0.0025590447526369076     0.3832960405779393         -0.03273118952092731       
Check         All|All|All               All                  All      0.9952354286048403         0.9982700222263219         -0.01007206317576742       0.0005389970574597724      
Lambda        AB|SDSS|SDSS_i            6035.019645157569    All      -0.0001797321766493078     -2.8667343417443342e-05    -0.0004074573245508233     3.10238370581113e-05       
Lambda        AB|SDSS|SDSS_g            3808.536301112563    All      -0.0012226856992698576     0.0005868841148034408      0.00042455454589618297     0.0006083823409970931      
Lambda        AB|SDSS|SDSS_r            4976.618408945284    All      -0.0003857471785857329     -0.00011828667320326837    -0.0024938010390289163     -2.4166200965634222e-05    
Lambda        AB|SDSS|SDSS_z            7175.135286986008    All      -4.8453910557203854e-05    4.825650222492211e-07      -0.00015153536279037706    9.17789279386691e-06       
MWEBV         All|All|All               All                  All      -0.5625443870909836        -3.06922979672013          0.022685053671592365       -0.8154975756599798        
Redshift      All|All|All               All                  All      5.690629669186673          0.5853010330211461         11.786550858132927         -1.1369938659939138        
