#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6035.019645157569    All      1.2976331054117753        0.10215707063441215        -0.07795482692913858       -0.3928846404125913        
Zeropoint     AB|SDSS|SDSS_g            3808.536301112563    All      -0.8972714762582559       0.46509230318427797        0.39959172075593186        0.4615986466404223         
Zeropoint     AB|SDSS|SDSS_r            4976.618408945284    All      0.45663762295977195       0.4363640000731195         -0.6463036123857346        -0.03544534781221437       
Zeropoint     AB|SDSS|SDSS_z            7175.135286986008    All      0.13911866392021177       -0.005759437194008399      0.31846201820826536        -0.032980066651364104      
Check         All|All|All               All                  All      0.9961179160335032        0.9978539366978012         -0.006204700350675996      0.00028859176425255484     
Lambda        AB|SDSS|SDSS_i            6035.019645157569    All      -0.0002580806288059875    -1.7929582477550155e-05    -0.0010487794646115085     3.1422885888163105e-05     
Lambda        AB|SDSS|SDSS_g            3808.536301112563    All      -0.0012515815404253632    0.0006134077502932325      0.0002760931888882328      0.0006198091392821771      
Lambda        AB|SDSS|SDSS_r            4976.618408945284    All      -0.000335954253775978     -0.00010854806267805339    -0.002412603759205233      -3.3589747202994254e-05    
Lambda        AB|SDSS|SDSS_z            7175.135286986008    All      -6.686314687441632e-05    6.322639822141934e-06      -0.00022848149549712946    1.3642938701450003e-05     
MWEBV         All|All|All               All                  All      -0.5533810182091652       -3.0716963177619405        0.035416503138929745       -0.8187176673038248        
Redshift      All|All|All               All                  All      6.089578891427179         0.44960934645121853        14.604910461871079         -1.1853735542995514        
