#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F110W_faint
@MAGSYS  VEGAHST
53277.10000000009  0.3019951720402024  0.013907330665209381  22.92
53286.10000000009  0.21478304741305376  0.01780394671429604  22.92
