#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F160W
@MAGSYS  VEGAHST
53277.200000000186  0.17701089583174223  0.008151617269395478  22.11
53285.10000000009  0.1247383514242941  0.013786531657478111  22.11
