#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     VEGAHST|NICMOS2|F160W          6817.91002257946     All      1.2910324332606093        0.1327637356485667        0.4555992071684223         -0.3569549205960811       
Zeropoint     VEGAHST|NICMOS2|F110W_faint    4896.602348910954    All      0.5731790937481713        0.30670476854268713       -1.1493271337726707        -0.13808864577600655      
Zeropoint     VEGAHST|ACSWF|F850LP           3831.348829087971    All      -0.8626272571551646       0.5603749289527116        0.713292330718307          0.4953495880834803        
Check         All|All|All                    All                  All      1.0015842698536161        0.9998434331439654        0.019564404114058576       0.00030602171139265666    
Lambda        VEGAHST|NICMOS2|F160W          6817.91002257946     All      -0.0006106267103980711    -6.288633592071676e-05    -0.00016973105900329818    0.00017084274247358388    
Lambda        VEGAHST|NICMOS2|F110W_faint    4896.602348910954    All      0.0004108784660928398     0.00019687281675283128    -0.0006320784710214211     -9.791543969704992e-05    
Lambda        VEGAHST|ACSWF|F850LP           3831.348829087971    All      -0.001251987252719954     0.0003268358353502391     -0.0013332837000314941     0.0004547762935393741     
MWEBV         All|All|All                    All                  All      -0.06987177812775403      -1.1354952209851277       -0.028254627848900427      -0.34836948758067526      
Redshift      All|All|All                    All                  All      4.820451954596406         -0.24107938845521204      -1.798349029314461         -1.7289593355269381       
