#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     VEGAHST|NICMOS2|F160W          6817.91002257946     All      1.4537145871777701        0.24167137018675788       0.476663718032075          -0.3735310383129049       
Zeropoint     VEGAHST|NICMOS2|F110W_faint    4896.602348910954    All      0.28674311638686256       0.09957950870624899       -0.8626238788793206        -0.09946028634758323      
Zeropoint     VEGAHST|ACSWF|F850LP           3831.348829087971    All      -0.7438292951436323       0.6529310775650998        0.38197055367662736        0.472016396925873         
Check         All|All|All                    All                  All      0.9966284084210005        0.9941819564581067        -0.003989607170618192      -0.0009749277346151608    
Lambda        VEGAHST|NICMOS2|F160W          6817.91002257946     All      -0.0006119874363670633    -9.874205647588343e-05    -0.00020297894720617765    0.00015812288733678618    
Lambda        VEGAHST|NICMOS2|F110W_faint    4896.602348910954    All      0.00027131776097967346    8.434641413830603e-05     -0.000569938782554723      -8.63364690721057e-05     
Lambda        VEGAHST|ACSWF|F850LP           3831.348829087971    All      -0.001092486154023416     0.0006159458346544917     -0.0007850365829938234     0.0005214599272989427     
MWEBV         All|All|All                    All                  All      -0.07750316238123478      -1.1409751811044089       -0.021426382871285073      -0.3473639847480587       
Redshift      All|All|All                    All                  All      4.926692070431252         -0.026988966822827365     -0.5880088352268626        -1.6398170187883256       
