#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7492.576245950432    All      1.2219249326516688         -0.6935732830845254       2.0692763115002113         -0.5315984889448421       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4304.364367540161    All      -0.5069810753498241        0.39967283370767603       0.6469188416665306         0.32419602292046085       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6154.115487809657    All      0.9740679670104987         0.21284518355191295       -2.2913590115001763        -0.35020813291013353      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5328.701340571701    All      -0.6760041943646968        1.0750248840874832        -0.3072845836324428        0.5566550783369822        
Check         All|All|All                                All                  All      1.0130076299476467         0.9939696182625468        0.11755155803412276        -0.0009555205975325665    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7492.576245950432    All      -0.0001311146141177744     -2.037123226706942e-05    -0.00018893567312986746    2.7641431476193203e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4304.364367540161    All      -0.00048807406271168704    0.0003887447976100181     0.0005639772595711798      0.0003107764641312563     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6154.115487809657    All      -0.00015689178761776754    -6.687860926179869e-05    -2.929901118735337e-05     2.801277323234575e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5328.701340571701    All      -0.0009054709205068318     0.0010632956918458644     -0.0026403043326262052     0.0005234674002550183     
MWEBV         All|All|All                                All                  All      -0.7139139559274539        -4.128910377646999        0.39673697978903666        -1.0946721353382565       
Redshift      All|All|All                                All                  All      12.465627556647785         -5.597970396818841        10.129490238553998         -5.431875501884277        
