#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1 7492.576245950432 All 1.2408304641620176 0.18738910778594065 5.327064627748092 -0.1054180789493773
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1 4304.364367540161 All -0.33862082820068773 0.5475910305790235 1.9909988417418416 0.3775174918887113
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1 6154.115487809657 All 0.8863161678845016 -0.23159634590327371 -1.0034534195408742 -0.40892040138921015
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1 5328.701340571701 All -0.1894086682727023 0.7667965406211747 -0.27906167874687404 0.2990142537151646
Check All|All|All All All 1.599117135573129 1.2701803330828652 6.035548371202185 0.1621932652652885
