#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7045.191892024844     All      0.12354807321343317        0.016742478444342623      0.2379872056498396         -0.02416982006353828       
Zeropoint     AB|SDSS|SDSS_r            4886.490673980133     All      0.714233555093499          0.3819917532371875        -0.5440846524334891        -0.13250208444289885       
Zeropoint     AB|SDSS|SDSS_i            5925.724013788574     All      1.211649828015948          0.1411385558482081        0.2113509889001877         -0.3392691161851512        
Zeropoint     AB|SDSS|SDSS_g            3739.5628090451696    All      -1.0512781656697414        0.45904390626532177       0.09874432443111225        0.49636809263261417        
Check         All|All|All               All                   All      0.9981532906531388         0.99891669379506          0.003997866547650414       0.0004270719410258139      
Lambda        AB|SDSS|SDSS_z            7045.191892024844     All      -5.029209436769462e-05     -7.071183282728421e-06    -0.00010093960479563442    9.574001702919964e-06      
Lambda        AB|SDSS|SDSS_r            4886.490673980133     All      -0.00024160501993969184    -7.977980382296057e-05    -0.0015035103212354807     -1.4382963482908658e-05    
Lambda        AB|SDSS|SDSS_i            5925.724013788574     All      -0.00018678421367868022    -2.217754603478346e-05    -3.3752947429245806e-05    5.211156802804238e-05      
Lambda        AB|SDSS|SDSS_g            3739.5628090451696    All      -0.0015379872302478796     0.0005592859897697435     -0.0009973632482249513     0.0006386431449546596      
MWEBV         All|All|All               All                   All      -0.561843974176143         -2.975126584416188        0.11744351518758175        -0.7808445761105364        
Redshift      All|All|All               All                   All      4.70128512031449           -0.07225030966324653      6.282656423735308          -1.2745314332006514        
