#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7045.191892024844     All      0.08154175437320024        0.011038852231060048      0.12837045916912482        -0.01723653069575573      
Zeropoint     AB|SDSS|SDSS_r            4886.490673980133     All      0.7761366330696642         0.3804085897387566        -0.7492341995797513        -0.16233652399782852      
Zeropoint     AB|SDSS|SDSS_i            5925.724013788574     All      1.1277615363480076         0.15208905976464848       0.36650269161669913        -0.3014532924533783       
Zeropoint     AB|SDSS|SDSS_g            3739.5628090451696    All      -0.9871335831622514        0.45503517936396065       0.2549304167071831         0.48113818554237664       
Check         All|All|All               All                   All      0.9983063406286206         0.9985716810984258        0.0005693679132556806      0.0001118383954140656     
Lambda        AB|SDSS|SDSS_z            7045.191892024844     All      -5.1223054620610234e-05    -8.411176602311669e-06    -0.00011235874631845696    8.931182336374582e-06     
Lambda        AB|SDSS|SDSS_r            4886.490673980133     All      -0.0003158479541864786     -7.743009669765566e-05    -0.001390458303055175      1.5610771977284663e-05    
Lambda        AB|SDSS|SDSS_i            5925.724013788574     All      -0.0002202162713018642     -3.923301553213784e-05    -0.0001873923362329427     5.058974127225186e-05     
Lambda        AB|SDSS|SDSS_g            3739.5628090451696    All      -0.0015093359600583524     0.0004856608698347854     -0.0016888893397566532     0.0005744687264972236     
MWEBV         All|All|All               All                   All      -0.5590822555890909        -2.9687093732192693       0.19211042980893933        -0.7763218204385518       
Redshift      All|All|All               All                   All      5.003239477039614          0.22646857787727015       7.618830881930649          -1.2159580027159105       
