#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6118.069707655984    All      1.1050898438382695         -0.155130606904752         0.02175611605156038       -0.40952438529119145       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5426.099238456677    All      0.36808666064927653        0.5153419752393695         -1.599840106654761        -0.023427615642217983      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4337.227060581136    All      -1.0440152989938596        0.7694793117835275         0.6869007407657869        0.6213680821701303         
Zeropoint     AB|CNIa02|SDSS_i                      7419.228850212865    All      0.566039241272669          -0.13247058949783508       0.8817926748911116        -0.18817727501968137       
Check         All|All|All                           All                  All      0.9952004467663553         0.9972200906203099         -0.009390574946302022     0.00023880621703950555     
Lambda        AB|CNIa02|SDSS_r                      6118.069707655984    All      -8.244670051422122e-06     -2.6179714254216638e-06    -2.193533477205189e-05    8.539276098466936e-07      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5426.099238456677    All      9.900832504281059e-05      0.00013941099670674605     -0.0006050203565482185    -1.3838800385397554e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4337.227060581136    All      -0.0005489562660549672     0.0002437902581958674      -0.0008519509173094242    0.00022020496696398812     
Lambda        AB|CNIa02|SDSS_i                      7419.228850212865    All      -0.00016559835991213908    6.405626890605985e-06      -0.0008585405071503901    1.7714637564541238e-05     
MWEBV         All|All|All                           All                  All      -0.8767714206957002        -4.06252234012241          0.1413556779232897        -1.0313958278668465        
Redshift      All|All|All                           All                  All      5.67681758832173           -1.075969360187834         1.621699145050507         -2.1272358845725226        
