#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6118.069707655984    All      1.0795223920544585       -0.16586556989697243      0.03322947399737597       -0.40418095244748875      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5426.099238456677    All      0.3099067631483139       0.5609631085151889        -2.069182500337674        -0.010560800384164931     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4337.227060581136    All      -0.9491277073911163      0.7426918990208975        1.0103465072867746        0.5961684292867433        
Zeropoint     AB|CNIa02|SDSS_i                      7419.228850212865    All      0.5526050760376313       -0.13936853587335207      0.9868136226518831        -0.18136161094712555      
Check         All|All|All                           All                  All      0.9929065238492876       0.9984209017657619        -0.03879289640164041      6.506550796403499e-05     
Lambda        AB|CNIa02|SDSS_r                      6118.069707655984    All      8.570973544756572e-05    -9.435111688558384e-06    0.00012297842432150072    -2.550384462673567e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5426.099238456677    All      3.244135302129559e-05    0.000177446688974         -0.0008088338864296647    1.1138466941967537e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4337.227060581136    All      -0.00055904082409292     0.0002602156934974496     -0.0008332159141258271    0.00022967620109287665    
Lambda        AB|CNIa02|SDSS_i                      7419.228850212865    All      -0.00013993077846723     -7.771822677003701e-06    -0.0007932088271398838    7.651252922495829e-06     
MWEBV         All|All|All                           All                  All      -0.8703464042627149      -4.065357184629548        0.16479175187111839       -1.0333662248731237       
Redshift      All|All|All                           All                  All      5.62610948481691         -1.2599601337902833       1.620683595406902         -2.1706957544092664       
