#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4761.113371276298    All      -2.3434358591151767        1.4330889913804157       -0.22983475284594768      1.2198819183569047        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5701.437969672631    All      3.340817929743466          -0.4291853578202165      0.24131368158859523       -1.2172453788879627       
Check         All|All|All                            All                  All      0.9973820706282899         1.0039036335601992       0.011478928742647554      0.002636539468942045      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4761.113371276298    All      -0.0007433973157602831     9.389255356505176e-05    -0.0029538647068739626    0.00014091544119987034    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5701.437969672631    All      -0.00028544719055423795    7.421908125967308e-05    -6.6851138499946e-05      0.00011417187812358908    
MWEBV         All|All|All                            All                  All      -0.31272888745303185       -2.6510815442748026      -0.028014326798375677     -0.7629285405840874       
Redshift      All|All|All                            All                  All      4.502730026802863          0.8125584488141158       5.800538176065606         -0.9431589081002473       
