#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4272.556556743712    All      -1.697885202735986        1.2438672585447286         0.4198504677976578        0.9769615554947864         
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7762.703104830677    All      0.4484323386401513        0.3134092210717476         0.8054920979140993        -0.008036058682140737      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5345.193035778913    All      2.326093903628392         -0.69054629028793          -1.1944269010378725       -1.0359207424620556        
Check         All|All|All                                All                  All      1.0766410395325567        0.8667301893285462         0.030915664673884402      -0.06699524564940995       
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4272.556556743712    All      -0.0008725706030723386    0.0002905177124439453      -0.0023239138778923967    0.00027515052581271194     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7762.703104830677    All      -5.557019188844769e-06    -0.00012488153170550647    -9.327430871633729e-05    -4.303032339114004e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5345.193035778913    All      0.00042661611198504385    0.00016670373794221567     -0.0020277203300721885    -0.00017514985643736744    
MWEBV         All|All|All                                All                  All      -0.8050249653676942       -3.8938638768246214        0.2086478628408043        -0.9968254574096863        
Redshift      All|All|All                                All                  All      2.3026327306991954        -3.3454746956167014        5.96352852885706          -1.5736495172190488        
