#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4272.556556743712    All      -1.5594123864399712       0.8988255538001866        -0.1623575142668976       0.7934837005816264        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7762.703104830677    All      0.526393908786769         0.2136099618303966        -0.09926475603738716      -0.10631375196530762      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5345.193035778913    All      2.019296847849482         -0.09639836293473536      0.2852986427303694        -0.6764199663616146       
Check         All|All|All                                All                  All      0.9862783701962796        1.0160371526958478        0.02367637242608467       0.010749982254704138      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4272.556556743712    All      -0.0009369921066600215    0.0003256935252613361     -0.0026054826700296773    0.00029502752642582796    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7762.703104830677    All      -7.746445717099739e-05    -3.264661992922742e-05    7.649926632137035e-05     1.8012454960194697e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5345.193035778913    All      0.0010145494623702565     -0.0007702648261173355    -0.001760295400802126     -0.0006599266313998316    
MWEBV         All|All|All                                All                  All      -0.7907453898033716       -3.9367528764922888       0.0061978228152792525     -1.0244815586199427       
Redshift      All|All|All                                All                  All      0.47837927032134764       0.7446656373265803        8.905224181294491         0.4841374852907421        
