#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                   ds/dP                    dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5356.637731329973    All      1.0137185820128185      0.9944307890412674       0.0025201988363753457    -0.006170203821162135    
Check         All|All|All                           All                  All      1.0137185820128185      0.9944307890412674       0.0025201988363753457    -0.006170203821162135    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5356.637731329973    All      0.021426195408642507    -0.008823540427940358    8.099425403639739e-05    -0.00984971974715957     
MWEBV         All|All|All                           All                  All      -0.997567330996437      -3.946510295850292       -0.015185276001680986    -0.961245390119246       
Redshift      All|All|All                           All                  All      -91.22038351085678      36.3878141090467         -8.422941598794498       41.19031095142301        
