#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                 dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5356.637731329973    All      0.9458074272100359     1.0138610796573078       -0.0030592720170918852    0.02203079224134541      
Check         All|All|All                           All                  All      0.9458074272100359     1.0138610796573078       -0.0030592720170918852    0.02203079224134541      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5356.637731329973    All      0.0203292806200552     -0.008435847141761339    2.5416539016693183e-05    -0.009368614233215392    
MWEBV         All|All|All                           All                  All      -0.8342535833126519    -4.007753586505758       -0.0065900628275716855    -1.0340074403258903      
Redshift      All|All|All                           All                  All      -40.76107669705717     39.648853493370574       -5.64015954574093         25.940465254938516       
