#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5799.701613034442     All      0.654166056764502          0.38510038335974883        -0.2622460710219321        -0.09934637952272243      
Zeropoint     AB|PS|PS_z                8073.088322398372     All      0.3533840885890286         -0.11735347314587585       0.5242401067035996         -0.12994028244837502      
Zeropoint     AB|PS|PS_g                4566.9383022267875    All      -1.0051028093012975        1.0372065249883988         0.3992205486782252         0.6830627196933593        
Zeropoint     AB|PS|PS_i                7024.694733627561     All      1.0028847529398162         -0.31366184800400987       -0.6691472092386519        -0.4587035076903979       
Check         All|All|All               All                   All      1.0053320889920496         0.9912915871982619         -0.007932624878759231      -0.0049274499681360995    
Lambda        AB|PS|PS_r                5799.701613034442     All      -2.618944474801621e-05     -0.00010123681767600807    -0.00021233921468862357    -3.392112226069489e-05    
Lambda        AB|PS|PS_z                8073.088322398372     All      -2.9761878866882955e-05    5.6799493666347506e-06     7.520179460639834e-05      1.4900480161105629e-05    
Lambda        AB|PS|PS_g                4566.9383022267875    All      -0.00018735841889750375    6.812164079781715e-05      -7.037413521068287e-05     8.007778604933464e-05     
Lambda        AB|PS|PS_i                7024.694733627561     All      -0.00084647468440947       0.00018379426070953034     -0.0013609023779531599     0.00027486166753726954    
MWEBV         All|All|All               All                   All      -0.6372708922485222        -3.8366886170651426        0.09637316924792083        -1.0378549187718749       
Redshift      All|All|All               All                   All      5.98078153222521           -0.581106936829201         7.750313642043715          -1.7915620521480202       
