#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5799.701613034442     All      0.7042461333837484         0.4468016422428889        -0.6308664313478294        -0.11201081180309845      
Zeropoint     AB|PS|PS_z                8073.088322398372     All      0.32028119175034214        -0.08813627456145667      0.6365116141044719         -0.10463041536791082      
Zeropoint     AB|PS|PS_g                4566.9383022267875    All      -0.9764350330819004        0.9224177705345227        0.25108913080086676        0.6297237832365283        
Zeropoint     AB|PS|PS_i                7024.694733627561     All      0.9494469220389217         -0.2820059060151259       -0.2541249313581875        -0.41246512822479453      
Check         All|All|All               All                   All      0.9975392140911117         0.999077232200829         0.0026093821993217747      0.0006174278407245493     
Lambda        AB|PS|PS_r                5799.701613034442     All      -0.00014586104039090138    -4.314218333369637e-05    -0.00032818721822607823    1.881342285349586e-05     
Lambda        AB|PS|PS_z                8073.088322398372     All      2.7466308491446666e-05     -6.287911145389369e-06    0.00020774068955418847     -1.72434696023199e-06     
Lambda        AB|PS|PS_g                4566.9383022267875    All      -0.00010551725555028512    1.9540965766691636e-06    -0.000250039906296295      2.3848822463961522e-05    
Lambda        AB|PS|PS_i                7024.694733627561     All      -0.0008167001682954873     0.00014443476717953424    -0.0016324610251599496     0.00024022403095378127    
MWEBV         All|All|All               All                   All      -0.6370034432684286        -3.8330186533110044       0.12092568013220242        -1.0356509419753956       
Redshift      All|All|All               All                   All      6.184683969636774          -0.3202777412705693       7.821696319794562          -1.7698336531255663       
