#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.737626427107    All      0.3621126675640265         0.49483460312158556       -0.1862096209461095        0.034922220680111415       
Zeropoint     AB|CNIa02|SDSS_r                      6101.876612091404    All      1.0331777404573446         -0.11384048316243067      -0.1282911111458951        -0.3793466142823332        
Zeropoint     AB|CNIa02|SDSS_i                      7399.591891575953    All      0.5329590608415783         -0.11591337438519034      0.2537292354401366         -0.20003632898093482       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.747437818848    All      -0.944896965056059         0.736583958910586         0.056769936615630456       0.5502470375514614         
Check         All|All|All                           All                  All      0.9833525038068901         1.0016647044845506        -0.004001560036237528      0.00578631496830484        
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.737626427107    All      -0.00010136828082220827    2.1588268751902816e-05    -0.0013367655048513126     -1.960271159300285e-05     
Lambda        AB|CNIa02|SDSS_r                      6101.876612091404    All      -0.00012034798391692892    -4.342599198480403e-05    -0.0006368637143774974     -3.3642791327662068e-06    
Lambda        AB|CNIa02|SDSS_i                      7399.591891575953    All      -0.00012135204811551458    -6.54231179656428e-05     -0.0008359002240617651     -1.9084495292048872e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.747437818848    All      -0.0003614706652106573     0.00020633993277480313    -0.00027026114771628977    0.00017289407841965108     
MWEBV         All|All|All                           All                  All      -0.8668921726609566        -4.052571608129263        -0.0038359085627881484     -1.037851776853879         
Redshift      All|All|All                           All                  All      5.7492487327674535         -0.48600458454020057      6.065740050018342          -1.7603410196922284        
