#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.737626427107    All      0.38646674630367456        0.48839128867648185       -0.03543665611235932       0.03161880146104693        
Zeropoint     AB|CNIa02|SDSS_r                      6101.876612091404    All      1.09814173591216           -0.1049220099814896       0.013808603368891049       -0.39126122711143696       
Zeropoint     AB|CNIa02|SDSS_i                      7399.591891575953    All      0.5616352352989492         -0.13606976901696655      0.10852760511677494        -0.22242238515143894       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.747437818848    All      -1.0492542674013934        0.7510672306978883        -0.086109009955473         0.5825812911190169         
Check         All|All|All                           All                  All      0.9969894501133901         0.998466740375914         0.0007905424178336617      0.0005164803171879839      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.737626427107    All      -3.2645263634037164e-05    -9.795918024852704e-06    -0.0011479764355576895     -4.378613226782378e-05     
Lambda        AB|CNIa02|SDSS_r                      6101.876612091404    All      -4.690276593385404e-05     -3.656268292436256e-05    -0.00038843258711475555    -1.3965857141768742e-05    
Lambda        AB|CNIa02|SDSS_i                      7399.591891575953    All      -6.490906203042704e-05     -6.246144833441949e-05    -0.0006031175108578465     -2.611709618616203e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.747437818848    All      -0.0004046254668194197     0.00018849490299071566    -0.00043137077650563945    0.00017394872098660025     
MWEBV         All|All|All                           All                  All      -0.8727616592026819        -4.050049427206037        0.003205891672295295       -1.0348040914802121        
Redshift      All|All|All                           All                  All      5.369947680213649          -0.26904312958810905      4.606936548224186          -1.6312184047866596        
