#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5402.490665837393     All      1.3230042097578347        0.25372000453955934        -0.46110711566342266      -0.368878136828718        
Zeropoint     AB|SDSS|SDSS_r            4455.020212458556     All      0.39923822993263786       0.5718642799271478         1.1073394565587498        0.10564545783161523       
Zeropoint     AB|SDSS|SDSS_g            3409.3645136305568    All      -0.8845122285770961       0.16502061494705345        -0.517220926587567        0.31878618129695535       
Zeropoint     AB|SDSS|SDSS_z            6423.111057337797     All      0.15572811117946694       0.008300891393986376       -0.1252973231722691       -0.053613339758984184     
Check         All|All|All               All                   All      0.9934583222928434        0.998905790807747          0.0037140911354909822     0.00194016254086838       
Lambda        AB|SDSS|SDSS_i            5402.490665837393     All      0.00024084389413913163    2.3468924688833895e-05     -0.0005783833329558883    -9.661677070529461e-05    
Lambda        AB|SDSS|SDSS_r            4455.020212458556     All      -0.0002918875087590384    -0.00020929573291353056    -0.0024910298417732918    -8.426036237049942e-05    
Lambda        AB|SDSS|SDSS_g            3409.3645136305568    All      -0.0016403031745410486    0.00022312565759480016     -0.0016589844922444681    0.0005329472171655884     
Lambda        AB|SDSS|SDSS_z            6423.111057337797     All      -4.561004318346104e-05    -3.378315445119826e-06     7.345953129921157e-06     1.408407925639753e-05     
MWEBV         All|All|All               All                   All      -0.6238078482077916       -2.5990068374044384        -0.13348291798090525      -0.6493440224625507       
Redshift      All|All|All               All                   All      2.752015802331614         0.9228685389796709         3.356301796347087         -0.4460371065968704       
