#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5402.490665837393     All      1.1686672036524746        0.22034728731696873       -0.804675457858206        -0.3448079654925343        
Zeropoint     AB|SDSS|SDSS_r            4455.020212458556     All      0.4632975611812948        0.6306747012036595        1.496692918539333         0.12131077194210207        
Zeropoint     AB|SDSS|SDSS_g            3409.3645136305568    All      -0.6831436476578151       0.1624199702670026        -0.3195693573815994       0.2611669758838888         
Zeropoint     AB|SDSS|SDSS_z            6423.111057337797     All      0.046062487772315655      -0.014071238588719837     -0.36117041817029794      -0.035704909983832675      
Check         All|All|All               All                   All      0.99488360494827          0.999370720198911         0.011277685129229553      0.0019648723496239334      
Lambda        AB|SDSS|SDSS_i            5402.490665837393     All      0.0003217566285552473     6.123034520740194e-05     -0.0001457888373802432    -9.13678677748986e-05      
Lambda        AB|SDSS|SDSS_r            4455.020212458556     All      -0.0004652876706819227    -0.0001975839386059821    -0.002771946814435071     -3.6499342508685385e-05    
Lambda        AB|SDSS|SDSS_g            3409.3645136305568    All      -0.0015671747713931516    0.00029140542518559475    -0.0017207958798438584    0.0005286094987101426      
Lambda        AB|SDSS|SDSS_z            6423.111057337797     All      1.2202866283278268e-05    2.9460875875908405e-05    0.0007657192150038188     3.9792033240440824e-05     
MWEBV         All|All|All               All                   All      -0.6057004486621789       -2.5863797466646687       0.04686000175939675       -0.6430812631144797        
Redshift      All|All|All               All                   All      1.7478978295908485        0.1630887557453775        -6.153044863504364        -0.7908065863666349        
