#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6307.42239837697      All      1.0306871038618333         0.09199661446572804       1.711918158117881         -0.22936732955503442       
Zeropoint     AB|SDSS|SDSS_g            3980.4422492550075    All      -0.5693175108202249        0.4957046492373607        0.8866327317152645        0.38647910237868954        
Zeropoint     AB|SDSS|SDSS_r            5201.248093027058     All      0.5757729104326985         0.37611449587338086       -3.0967016852538776       -0.20322688776517883       
Zeropoint     AB|SDSS|SDSS_z            7498.999453437388     All      0.055113399179257797       0.006409001039919815      0.10333933549728225       -0.011253064878244401      
Zeropoint     AB|SDSS|SDSS_u            3027.0727913026044    All      -0.09717886188987555       0.028060207484870148      0.46868774191931584       0.061709866455274265       
Check         All|All|All               All                   All      0.9950770407636893         0.9982849681012596        0.07387628199586582       0.004341686635506159       
Lambda        AB|SDSS|SDSS_i            6307.42239837697      All      -0.00024117606140731446    -3.486829968009586e-05    -0.0009064697036374973    2.674964570973338e-05      
Lambda        AB|SDSS|SDSS_g            3980.4422492550075    All      -0.00038665044181480316    0.00025664556038135965    -0.001170188972306477     0.00015732251237465        
Lambda        AB|SDSS|SDSS_r            5201.248093027058     All      9.493298081715741e-05      2.718983128269034e-05     9.009524409262512e-05     -1.8045635535432384e-05    
Lambda        AB|SDSS|SDSS_z            7498.999453437388     All      -6.779645251703391e-06     -3.58380969590061e-06     0.00010717403268351413    5.8236736265290615e-06     
Lambda        AB|SDSS|SDSS_u            3027.0727913026044    All      -0.00011347188913452363    3.7354214962800546e-05    0.00022833793988539248    5.931869767479575e-05      
MWEBV         All|All|All               All                   All      -0.8832998016948443        -3.1844033796961213       0.2657951006210246        -0.7376839248261227        
Redshift      All|All|All               All                   All      3.4329132087758074         0.19636594357432813       -5.251545253763612        -1.2886022687189234        
