#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6307.42239837697      All      1.1956305321197505         0.06257400873774799       2.7884474579279788         -0.2446381829465373        
Zeropoint     AB|SDSS|SDSS_g            3980.4422492550075    All      -0.6931792073617986        0.5493572349699605        0.7773032847567154         0.43942247307603555        
Zeropoint     AB|SDSS|SDSS_r            5201.248093027058     All      0.49528052025251423        0.35135479292698335       -3.8413632288014794        -0.21830374256395232       
Zeropoint     AB|SDSS|SDSS_z            7498.999453437388     All      0.08832945904712997        0.005726655337312536      0.16500828335917314        -0.019542888889124012      
Zeropoint     AB|SDSS|SDSS_u            3027.0727913026044    All      -0.0830289933916599        0.02915987087881433       0.24690817107446278        0.047561981663738          
Check         All|All|All               All                   All      1.0030323106659365         0.9981725628508187        0.13630396831685068        0.004499640340159906       
Lambda        AB|SDSS|SDSS_i            6307.42239837697      All      -0.00019438256850075092    -3.408547810305741e-05    -0.00038445066443759966    3.5057768524346036e-05     
Lambda        AB|SDSS|SDSS_g            3980.4422492550075    All      -0.0004961650766239967     0.00033586992751675777    -0.0008428250232979983     0.0002334097641527455      
Lambda        AB|SDSS|SDSS_r            5201.248093027058     All      4.954539668594907e-05      5.4499306965616704e-05    -0.0006794349406815522     -2.8706409313910432e-05    
Lambda        AB|SDSS|SDSS_z            7498.999453437388     All      -1.6509807903170234e-05    -6.52191240121773e-07     -3.539067518576765e-05     3.5860241571981412e-06     
Lambda        AB|SDSS|SDSS_u            3027.0727913026044    All      -8.170869675844585e-05     2.9244346556229118e-05    0.00031053628968790646     4.999886482147172e-05      
MWEBV         All|All|All               All                   All      -0.7519502926181283        -3.2218541905873366       0.4800666239145497         -0.7831057884341742        
Redshift      All|All|All               All                   All      3.898829397179277          -0.2197293508034548       -1.2632042462065944        -1.39792108459708          
