#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3717.0235974514894    All      -0.8150212409922367        0.45562065439685995        0.502765913598946         0.43632600180851866        
Zeropoint     AB|SDSS|SDSS_z            7002.728887957004     All      0.1296550933685092         0.010288879728115319       0.05204474268900583       -0.03655898498110752       
Zeropoint     AB|SDSS|SDSS_r            4857.038662374662     All      0.7344156930468763         0.4371312791315418         0.10752545889736176       -0.09203694659491723       
Zeropoint     AB|SDSS|SDSS_i            5890.008302029574     All      0.9480517570052949         0.09423254830061012        -0.6700952930128956       -0.3080202813835347        
Check         All|All|All               All                   All      0.9971013024284439         0.9972733615571272         -0.007759177827582064     -0.00029021115104083117    
Lambda        AB|SDSS|SDSS_g            3717.0235974514894    All      -0.0016013951846847406     0.0006526873310815914      -0.000980616644039074     0.000690468415483055       
Lambda        AB|SDSS|SDSS_z            7002.728887957004     All      -5.6335703311129315e-05    -9.63320503499688e-06      -9.815153939018162e-05    1.0832487745823308e-05     
Lambda        AB|SDSS|SDSS_r            4857.038662374662     All      -0.00028419889952527674    -5.935006938373531e-05     -0.0009829141425711232    2.93777174623119e-05       
Lambda        AB|SDSS|SDSS_i            5890.008302029574     All      -0.00018549550897044775    -3.0891253004213445e-05    0.00017754572604457937    5.8282742812489146e-05     
MWEBV         All|All|All               All                   All      -0.5623248526162903        -2.950122311957415         0.0540232190674228        -0.7753733805631556        
Redshift      All|All|All               All                   All      3.7033109891516998         -0.8659651099065968        0.06327438850319833       -1.485539904831713         
