#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5008.118501064316    All      -2.239589764063245        1.773848743380313         -0.2577016029231054       1.2958089211215287        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5997.22685682106     All      3.2385754006361087        -0.7682737513214022       0.2685972368745064        -1.2931763291549523       
Check         All|All|All                            All                  All      0.9989856365728632        1.0055749920589108        0.010895633951400974      0.002632591966576392      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5008.118501064316    All      -0.0009027601185633295    0.0004319850890331179     -0.001311799933221836     0.00037623081978666316    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5997.22685682106     All      -9.84982794776312e-05     0.00010330112390025668    0.00033697054024199813    8.077015224463897e-05     
MWEBV         All|All|All                            All                  All      -0.44693114507810217      -2.8225615307675866       -0.009138412096622904     -0.774228777897955        
Redshift      All|All|All                            All                  All      4.399380494285133         0.2955146696422162        4.061786484241921         -1.1555052365803824       
