#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.210228503047    All      -0.8144365533841885        0.47882605937132894        -0.018646435769555728      0.4204260752622438         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5409.814496698985    All      0.5914510741805198         0.2420296501288277         0.12062724016651069        -0.10843501372927691       
Zeropoint     AB|CNIa02|SDSS_r                      6099.708232705689    All      1.2008284501130442         -0.10856119361370986       -0.015466653472958836      -0.4272014903102767        
Zeropoint     AB|CNIa02|SDSS_g                      4668.021198631182    All      -0.42852999883493026       0.4661801187094028         -0.14824433831214992       0.28482105641549466        
Zeropoint     AB|CNIa02|SDSS_i                      7396.962352576655    All      0.44991911463952156        -0.08168148820733023       0.06183805669327066        -0.17040025702927483       
Check         All|All|All                           All                  All      0.9992320867139668         0.9967931463885193         0.00010786930511686582     -0.0007896293910900354     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.210228503047    All      -0.0003790424595119229     0.0001285119399489453      -0.0004429031841298694     0.00014556243102119743     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5409.814496698985    All      4.595971457107645e-05      -2.088157969761749e-05     -0.0009217334559671216     -6.290513932774905e-05     
Lambda        AB|CNIa02|SDSS_r                      6099.708232705689    All      -0.00012745962820544747    -4.739146544696262e-05     -0.0005463583501125426     1.6993709423669396e-06     
Lambda        AB|CNIa02|SDSS_g                      4668.021198631182    All      2.35552818193981e-05       -4.3452247260981604e-05    8.368516158725526e-05      -1.8092072294112617e-05    
Lambda        AB|CNIa02|SDSS_i                      7396.962352576655    All      -1.6468895740248554e-05    -3.997737960273331e-05     -0.00034589343322156583    -2.3093121893758722e-05    
MWEBV         All|All|All                           All                  All      -0.8834869725452457        -4.047420779869881         0.003386213052748968       -1.0304462202398725        
Redshift      All|All|All                           All                  All      4.273476663172539          0.17104352529440092        2.2235709216582094         -1.2370696813065025        
