#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.210228503047    All      -0.8464279880106239        0.5090318743325994         -0.022073559639634865      0.4405328288835809         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5409.814496698985    All      0.5080629536311128         0.28486828918445894        0.1052006722928267         -0.06800722226141254       
Zeropoint     AB|CNIa02|SDSS_r                      6099.708232705689    All      1.2139382368725433         -0.10703124537236874       0.028764885187948508       -0.42899957425868507       
Zeropoint     AB|CNIa02|SDSS_g                      4668.021198631182    All      -0.3442031586593204        0.4067724748745505         -0.14262865673223546       0.2382526083262393         
Zeropoint     AB|CNIa02|SDSS_i                      7396.962352576655    All      0.4685091798536646         -0.0969830227752766        0.031050163346402204       -0.18281378835520654       
Check         All|All|All                           All                  All      0.9998792236873763         0.9966583702439635         0.0003135044553070898      -0.001035147665483932      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.210228503047    All      -0.0004553242560874208     0.00016476152322563285     -0.0004698076108130897     0.00018101698261617602     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5409.814496698985    All      -1.913724679043774e-05     4.412559727426427e-06      -0.0009793142733332144     -3.6031351442601374e-05    
Lambda        AB|CNIa02|SDSS_r                      6099.708232705689    All      -3.0050328778554056e-05    -4.032674351315774e-05     -0.00034437847367391986    -1.8715395970010005e-05    
Lambda        AB|CNIa02|SDSS_g                      4668.021198631182    All      6.483763061313879e-05      -4.5382160289676904e-05    7.106810655653877e-05      -3.2730768828850126e-05    
Lambda        AB|CNIa02|SDSS_i                      7396.962352576655    All      -1.172260961283159e-05     -3.747242688349414e-05     -0.00029786315693355897    -2.1679827286827405e-05    
MWEBV         All|All|All                           All                  All      -0.8745609286602907        -4.04907527169911          0.018238168058515303       -1.0332298742719226        
Redshift      All|All|All                           All                  All      4.418458863742648          -0.1591350103645084        2.4527082250480725         -1.3816198199594696        
