#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4263.137565738765    All      -0.4653783052351421        0.8215012438204994        4.470215706023927         0.6186642022087686        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6075.22772730985     All      1.0338842856308208         -0.09074734990228706      -1.4205003125072382       -0.4297199278001953       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5272.196946470829    All      -0.6758369156834467        0.2584185746338896        -7.614736282299188        -0.03549295777122235      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7401.588748033895    All      1.1125828813284389         0.011427297105459644      4.671983127176814         -0.15019345140057186      
Check         All|All|All                                All                  All      1.0052519460406708         1.0005997656575616        0.10696223839431429       0.003257865236779095      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4263.137565738765    All      -5.458311637899149e-05     0.00016283100098520007    0.001137016904012277      0.00012155877303383503    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6075.22772730985     All      -0.00011065957301770112    3.202487557244963e-05     0.0009754721167976922     9.000785947603733e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5272.196946470829    All      -0.00013402251749669775    7.16713153316929e-05      -0.0009917082638063546    2.274586341593488e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7401.588748033895    All      -0.00042885798785133745    5.423147513551455e-07     -0.00172106089720659      6.306676211250483e-05     
MWEBV         All|All|All                                All                  All      -0.7546059319015175        -3.9254740074905037       0.7237980216641019        -1.0005562692576562       
Redshift      All|All|All                                All                  All      4.765571099853023          -0.22209761379823334      -10.984018505685441       -2.1148140875994015       
