#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4263.137565738765    All      -0.5619255653050688        0.9190302418871976         5.029241215229918          0.706827965367676         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6075.22772730985     All      1.1860725763373283         -0.12110958977924469       -1.7852166672101433        -0.5054582571740596       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5272.196946470829    All      -0.5192491279025679        0.19243468894223348        -6.915902057970946         -0.07680611240951737      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7401.588748033895    All      0.8801760386670121         0.004594857834305799       3.629066642191958          -0.12325701982163129      
Check         All|All|All                                All                  All      0.9850739217967039         0.9949501988844922         -0.04281086775921317       0.0013065759624677764     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4263.137565738765    All      -0.00028328390746905634    0.0003328362465196303      0.0015560972144634422      0.00027013207569061184    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6075.22772730985     All      -0.00013470147504794161    2.804476100223896e-05      -1.5595237851737643e-05    5.231585943468811e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5272.196946470829    All      -0.00027384691017401104    -2.7500019583222082e-05    -0.0032735520417516368     -6.584030590527211e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7401.588748033895    All      -0.0003900076602967519     -1.500778082510807e-05     -0.0018708064200724538     3.8664299648767965e-05    
MWEBV         All|All|All                                All                  All      -0.7728369155223755        -3.9385636847090844        0.522560914571546          -1.007861864459416        
Redshift      All|All|All                                All                  All      6.538355133672381          -0.3011863649716062        -2.4872217266130647        -2.3388569626025983       
