#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_z          6549.133666239094     All      0.6204882053857435        0.07479804562322556        0.5036510146086444        -0.15527360611111846       
Zeropoint     AB|DECam|DECam_i          5588.699335266155     All      0.9377219334350246        0.27308675021782136        -0.5009136212738929       -0.23884701932629532       
Zeropoint     AB|DECam|DECam_r          4600.225443999818     All      0.07815128821643419       0.36032545591755394        0.056662827810742764      0.0944420114368702         
Zeropoint     AB|DECam|DECam_g          3461.2252163441053    All      -0.6402493990236349       0.29041497067510136        -0.05630258902121095      0.30063547719961903        
Check         All|All|All               All                   All      0.9961120280135674        0.9986252224337022         0.0030976321242832394     0.0009568631990754528      
Lambda        AB|DECam|DECam_z          6549.133666239094     All      -0.0001835904742661574    -2.7113476174720574e-05    -0.0003021227573548973    3.7487355157594755e-05     
Lambda        AB|DECam|DECam_i          5588.699335266155     All      -9.096929129521892e-05    -3.862784897901218e-05     -0.0006953582313020466    -1.3981314453476767e-05    
Lambda        AB|DECam|DECam_r          4600.225443999818     All      -0.0001870304628683484    -0.00013899539639808967    -0.0011634579772126874    -3.6273184497680605e-05    
Lambda        AB|DECam|DECam_g          3461.2252163441053    All      -0.0011103978202996149    0.0003629064955258709      -0.0009704113269622936    0.00043659868535232953     
MWEBV         All|All|All               All                   All      -0.5076186133811742       -2.5270523048090965        0.06557582572241596       -0.6548696427700167        
Redshift      All|All|All               All                   All      6.185280183314969         0.0022642444980292         1.3408281910094526        -1.9541767024914156        
