#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4700.655919333295     All      2.8830231816501817       0.6445391561191727        0.47996848057572006       -0.7077291021798487        
Zeropoint     AB|MEGACAMPSF|r           3836.2431062699798    All      -2.432437251375559       0.3401800161949353        -0.2861312695389524       0.8903639360402795         
Zeropoint     AB|MEGACAMPSF|z           5409.91489291118      All      0.5542884316361438       0.014788970207746388      -0.19613424162266452      -0.18448529398394217       
Check         All|All|All               All                   All      1.0048743619107665       0.9995081425218544        -0.0022970305858968643    -0.0018504601235113938     
Lambda        AB|MEGACAMPSF|i           4700.655919333295     All      7.352414471790351e-07    -7.567790300519952e-05    -0.0006878021968081729    -5.558372814824047e-05     
Lambda        AB|MEGACAMPSF|r           3836.2431062699798    All      -0.003445612810150351    0.0003593354260906923     -0.001442857074395817     0.0011750087351950543      
Lambda        AB|MEGACAMPSF|z           5409.91489291118      All      4.638494728836499e-05    -7.168784447013675e-06    -9.575346904837566e-05    -2.1717249835506886e-05    
MWEBV         All|All|All               All                   All      -0.09357479581509098     -2.0655370527673966       0.021830354469754957      -0.6413587942638271        
Redshift      All|All|All               All                   All      3.450503217740245        -0.37969189946629456      -0.28123033344468845      -1.2601705774880982        
