#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4700.655919333295     All      2.913593854666619        0.6397325553674449         0.4971536696952647        -0.7184857480621899        
Zeropoint     AB|MEGACAMPSF|r           3836.2431062699798    All      -2.500214018254675       0.3456311669516765         -0.28908147333831513      0.9140850238954406         
Zeropoint     AB|MEGACAMPSF|z           5409.91489291118      All      0.5910220958762733       0.014297877235946999       -0.2091947466286187       -0.19719345241968958       
Check         All|All|All               All                   All      1.0044019322882172       0.9996615995550684         -0.0011225502716691316    -0.001594176586438928      
Lambda        AB|MEGACAMPSF|i           4700.655919333295     All      2.663058658033195e-05    -9.007370701498177e-05     -0.0007183436465621324    -7.007080559424295e-05     
Lambda        AB|MEGACAMPSF|r           3836.2431062699798    All      -0.003484495397338098    0.0003617608820387336      -0.0013411783504992845    0.001193001578292648       
Lambda        AB|MEGACAMPSF|z           5409.91489291118      All      9.895632144335513e-06    -1.2313208692725238e-05    -0.0001476067589278513    -1.3821161827419017e-05    
MWEBV         All|All|All               All                   All      -0.09309036145784888     -2.065810104576471         0.019049246848941437      -0.6417296404887026        
Redshift      All|All|All               All                   All      3.5773638250783963       -0.34521544246182145       -0.4851866764752001       -1.299364769451896         
