#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4345.056349082523     All      -0.8996311050608751        0.7192626336360419        -0.21493731700577998      0.517735285429031         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6296.745632269005     All      0.2668029113399232         0.24594507112336572       -0.01813580965844454      -0.007603402651389033     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4370.718481401941     All      -0.23479089933287228       0.11303724886531086       -0.02421829514972169      0.11221831979240106       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6353.93894216759      All      1.0569002695106597         -0.4365057301582098       -0.07496930839050878      -0.4897970016020747       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7856.565999099387     All      0.31722440653342826        -0.13049664549340534      0.08514215816747811       -0.14203797275501273      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5322.545381578028     All      0.05955560922700026        0.18139411021369511       0.07930652493117461       0.043225894104972566      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8131.9749675823405    All      0.06171752899624908        0.02588678705901515       0.0499143355440987        -0.009443803898271142     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5355.594522121902     All      0.3689352323901273         0.27939767843854213       0.11725977337880102       -0.02393256188882392      
Check         All|All|All                       All                   All      0.9967139536036403         0.9979211536843557        -0.0006379381829025588    0.00036475653083312826    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4345.056349082523     All      -0.0008788183371326952     0.0007782268581203517     -0.000749339085440351     0.0005063145734683123     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6296.745632269005     All      -4.156714530638876e-05     -3.685961244584438e-05    -6.4486275283773e-07      1.50462106299857e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4370.718481401941     All      -0.0002042397099389982     9.933441578794237e-05     -2.50425523702927e-05     9.776654594534544e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6353.93894216759      All      -0.0002035422666361604     2.4581768388915603e-05    -0.0005318575449830083    5.057314376625534e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7856.565999099387     All      -3.6778967804087704e-05    3.900010578143524e-05     3.7434046706987224e-05    2.6354246900449574e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5322.545381578028     All      3.125211872094077e-05      0.00011000448295394761    2.8743450677000075e-05    2.6934924096337415e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8131.9749675823405    All      3.1466876693884984e-06     1.248201711961428e-06     2.4217726786706286e-06    -5.103267428173272e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5355.594522121902     All      -0.00016611659407377442    0.0003673156785780663     -0.0022692679051653703    7.248943636618403e-05     
MWEBV         All|All|All                       All                   All      -0.8307707552191226        -4.0715594084622          0.028001669937037017      -1.054381897218796        
Redshift      All|All|All                       All                   All      6.825058495494565          -4.147118968784369        6.800341672126979         -3.2705311580448004       
