#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4345.056349082523     All      -0.6328572023158436        0.5066640989098481         -0.4217686888015715       0.35235797747878717        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6296.745632269005     All      0.21848640008086562        0.06671874955039847        0.15272075845442767       -0.04262049075642038       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4370.718481401941     All      -0.15283857199708328       0.0728085575398385         -0.2701125443183461       0.061446811389351264       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6353.93894216759      All      0.9403849605247245         -0.12339267708814106       -0.16324590446867848      -0.3537922887703826        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7856.565999099387     All      0.522801665589144          -0.20482330964495254       -0.1485028850268355       -0.24363839429406287       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5322.545381578028     All      0.004817088604740588       0.12012523175766177        0.41561858796972384       0.05610680446409555        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8131.9749675823405    All      0.09579259550072061        -0.008950850459399362      -0.007746420364052042     -0.03446407346905378       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5355.594522121902     All      0.05967804673469146        0.4859277186395783         0.6067068369435491        0.16591808096617366        
Check         All|All|All                       All                   All      1.0562649827219597         0.9150775192048322         0.16366974038821702       -0.038685572991511985      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4345.056349082523     All      -0.001014519221368447      0.0008409258159487265      -0.0005960233443852928    0.0005777817065590842      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6296.745632269005     All      2.0875581461835548e-05     9.362860348706292e-06      3.3951496461847944e-05    -2.2349726703114294e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4370.718481401941     All      -0.00021710732202001508    8.85539186290593e-05       -0.0005451004990525       7.523859031885403e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6353.93894216759      All      0.00011911054854886545     -0.0001400157676154377     7.223429199568303e-06     -8.408361770813104e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7856.565999099387     All      -7.58373697319131e-05      3.300195544147638e-05      -4.075565224890923e-05    3.363381134048499e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5322.545381578028     All      6.575891573819964e-07      9.207653360257145e-05      0.0003995517416781467     4.760831695605719e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8131.9749675823405    All      3.6846592839077494e-06     -5.895934048041936e-06     3.779979623833948e-06     -2.9520313105812494e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5355.594522121902     All      0.0002508473459910234      -1.5288289947145399e-06    -0.0011656998178656516    -0.00013422705212812126    
MWEBV         All|All|All                       All                   All      -0.7325637175097315        -4.131078169537883         0.02713613523837033       -1.1057970037460896        
Redshift      All|All|All                       All                   All      4.967666991640996          -3.2422348513039267        5.190201233648528         -2.4426202846694056        
