#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3918.518785055582    All      -1.0637179349210657        0.5604911098998855         -0.16496381442551167      0.5216967434021681        
Zeropoint     AB|SDSS|SDSS_z            7382.338038672898    All      0.1310967474357308         0.002853904400623719       0.14092257027548127       -0.03548418596331145      
Zeropoint     AB|SDSS|SDSS_r            5120.332636926377    All      0.8124524521157017         0.4067292442281101         -0.12349063976734298      -0.1376682167868787       
Zeropoint     AB|SDSS|SDSS_i            6209.298265273505    All      1.1178910480314628         0.028653273809808866       0.14605353526292997       -0.34828287944320274      
Check         All|All|All               All                  All      0.9977223126618296         0.9987275323384281         -0.0014783486544434066    0.0002614612087751822     
Lambda        AB|SDSS|SDSS_g            3918.518785055582    All      -0.0011244534279264142     0.0004476740041631912      -0.001271645316824446     0.00045534593605363403    
Lambda        AB|SDSS|SDSS_z            7382.338038672898    All      -2.1573716609096338e-05    4.7176550238332834e-07     -1.529374778186235e-05    6.498449076665969e-06     
Lambda        AB|SDSS|SDSS_r            5120.332636926377    All      -0.00015822516035420524    -3.3761689379212025e-05    -0.002296151589459812     -6.192485237166157e-05    
Lambda        AB|SDSS|SDSS_i            6209.298265273505    All      -0.00023649314845606588    -2.8450232400619935e-05    -0.0004375420069806366    4.824093195410382e-05     
MWEBV         All|All|All               All                  All      -0.5661444527752235        -3.2016701361817113        0.09194416777676961       -0.8543743753814562       
Redshift      All|All|All               All                  All      6.306460645090641          0.606639253464003          5.898884311287755         -1.5933792315896467       
