#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3918.518785055582    All      -1.0941332295976416        0.5694472442128173         -0.17002051563763593      0.5342956557550824        
Zeropoint     AB|SDSS|SDSS_z            7382.338038672898    All      0.1067373611022189         0.0034676641213593484      0.12166703559030934       -0.02820889677686879      
Zeropoint     AB|SDSS|SDSS_r            5120.332636926377    All      0.8958831542206167         0.3954254364705534         0.08195166874942342       -0.15935841665517664      
Zeropoint     AB|SDSS|SDSS_i            6209.298265273505    All      1.0899589239887892         0.03021713955799754        -0.033460929932484985     -0.3466859712806326       
Check         All|All|All               All                  All      0.998446209713983          0.9985574843627276         0.00013725876961184075    4.237104240439882e-05     
Lambda        AB|SDSS|SDSS_g            3918.518785055582    All      -0.0010977028922209147     0.00045970313422610213     -0.0010218302319672553    0.00046169878979397487    
Lambda        AB|SDSS|SDSS_z            7382.338038672898    All      -2.1683612060573376e-05    -8.646359282487041e-07     -2.834824501529775e-05    5.516373474015921e-06     
Lambda        AB|SDSS|SDSS_r            5120.332636926377    All      -0.0001150221788286978     -3.9474258872115816e-05    -0.002183086495776614     -7.281268077029778e-05    
Lambda        AB|SDSS|SDSS_i            6209.298265273505    All      -0.00023461873675185743    -3.0661026820573706e-05    -0.0005437899794671268    4.216888688739002e-05     
MWEBV         All|All|All               All                  All      -0.5676151143377202        -3.202086499837087         0.07319897472354985       -0.8548674677401435       
Redshift      All|All|All               All                  All      6.074136530976375          0.6170208636211427         4.805629454588503         -1.5631089355298395       
