#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5381.783602584163     All      0.19199121915149858        0.08776355237385403        -0.024110985650472004      -0.035026342609693555      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4708.994513821218     All      -0.28065670492115574       0.2699981822077646         0.05310166042439171        0.18173609596321239        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5470.044009923093     All      0.19338131233043435        0.06452011585520445        0.002634141874463443       -0.041856781445742154      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7882.530676113268     All      0.09863294233332798        -0.021313261079569656      0.010512521343049768       -0.03860129901918561       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I        8217.707322551782     All      0.049874856948877444       -0.00951201527712442       0.014341193828096857       -0.018704276440245145      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4323.1373639662215    All      -0.1815145704238909        0.11425257525545796        -0.03365926660949652       0.09483903132047161        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6359.552531570802     All      0.2425652061724969         -0.027245023214694797      0.03620733380622474        -0.08627030119079444       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5480.85770558115      All      0.24807885213789327        0.07364274857009079        0.047942454688670796       -0.054680126148356545      
Zeropoint     AB|CNIa02|SDSS_r                      6167.6185941218       All      0.2895575633002692         -0.03700277004439201       -0.016632546958540537      -0.10711367826644343       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7532.641519541108     All      0.12518704304850173        -0.02451538931671493       0.024212251606769757       -0.04768252569872612       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6207.488828360288     All      0.3691897289933166         -0.03797878858771142       0.042991345637377255       -0.13070967531879718       
Zeropoint     AB|CNIa02|SDSS_i                      7479.315535316025     All      0.05379434865080175        -0.010374214489194955      0.010291449396312076       -0.020442551978078812      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4449.93392696318      All      -0.313410797978359         0.2065578905110499         -0.09408475233886211       0.16517233792149344        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4373.544030945532     All      -0.32719641040546593       0.22253004297607681        -0.011283122437713884      0.17856047739660455        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6361.893557494775     All      0.3297959385746089         -0.043554486379759894      -0.005751870434555625      -0.12186919583189021       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4372.353298344049     All      -0.18167050133995163       0.10885327677194745        -0.06981987115958202       0.0915174123006633         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5336.095671454869     All      0.08851277485258317        0.05947940310653266        0.01318829820175279        -0.008868591170166251      
Check         All|All|All                           All                   All      0.9961128014257867         0.9961018392388166         8.02352178864707e-05       9.784325835648922e-09      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5381.783602584163     All      4.4657216221125344e-05     -1.9003937236526518e-05    -0.0004381764313276        -4.02903337294896e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4708.994513821218     All      -3.79117064585005e-05      -5.864773123705812e-05     -0.0004637967463350469     -2.7451524112853112e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5470.044009923093     All      2.6752772326685072e-05     -6.374018194605807e-06     -0.00012454575256800387    -1.6348390430979613e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7882.530676113268     All      5.62415771699668e-06       2.2943918028802944e-06     2.9762276610303887e-05     2.4353940765317494e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I        8217.707322551782     All      -6.410210447693527e-06     1.3216416657085793e-06     1.295247762461726e-07      2.524298699592128e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4323.1373639662215    All      -7.749686207482498e-05     3.7954213374092066e-05     -6.235084858957677e-05     3.482378149581271e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6359.552531570802     All      -5.1958278246322534e-05    4.6157651016083e-06        -2.2735043055897824e-05    1.7413466595854345e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5480.85770558115      All      1.1016128698075733e-05     -2.9967260380454756e-05    -0.00031575070956794694    -2.7440142113791277e-05    
Lambda        AB|CNIa02|SDSS_r                      6167.6185941218       All      -7.3394895316430615e-06    -6.940602781472747e-06     -6.732173476864578e-05     -2.8743292876658494e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7532.641519541108     All      -2.6125947576597325e-05    7.168293939403426e-07      -3.693778701921527e-05     7.0952117748876795e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6207.488828360288     All      -8.723676627437408e-05     -2.166569278093527e-06     -0.00012184853143828314    2.227262156001165e-05      
Lambda        AB|CNIa02|SDSS_i                      7479.315535316025     All      -7.817350627864347e-06     1.1295521008826319e-06     -4.09883680836786e-06      2.7313883016288542e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4449.93392696318      All      -0.0001806155665212338     6.126554039076533e-05      -0.00033198796891406064    6.397353588624522e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4373.544030945532     All      -0.00013857498390716172    2.7122205489555356e-05     -0.0003200709062883823     3.968973134697353e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6361.893557494775     All      -8.053551119057918e-05     -9.864135905374307e-06     -0.00017302361520466611    1.5298742671715184e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4372.353298344049     All      -8.129734559182834e-05     4.1468794655748766e-05     -6.822762613211531e-05     3.6944285168559384e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5336.095671454869     All      3.0543218556838875e-05     1.4741169015215001e-05     -1.3478425797707808e-05    -5.748727646876171e-06     
MWEBV         All|All|All                           All                   All      -0.8991704525602451        -4.101861643006721         0.012621722438171725       -1.0426586366359762        
Redshift      All|All|All                           All                   All      4.162421675701493          0.3758345197415469         0.0837874257616464         -1.2296769637233227        
