#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4785.055751735302     All      -2.5639091230228317        1.3110034770324575        -1.091425914918398        1.2134811888310975       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5730.1089939454105    All      3.5623596026324686         -0.3060984615075313       1.1046973670505111        -1.2107864901804821      
Check         All|All|All                            All                   All      0.9984504796096365         1.0049050155249262        0.013271452132113115      0.0026946986506153348    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4785.055751735302     All      -0.00048040842743251943    -9.043992644563053e-05    -0.0016466963465281564    5.354107541124804e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5730.1089939454105    All      -0.0014992825413101631     -3.224701491304277e-05    -0.001399124664407226     0.0004154252271574366    
MWEBV         All|All|All                            All                   All      -0.31725996371727794       -2.6673269238266073       0.0014575741659361707     -0.7654290789734841      
Redshift      All|All|All                            All                   All      4.340227621435066          1.713101231899472         1.997529583219687         -0.7666009239851779      
