#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4785.055751735302     All      -2.437101093858683        1.4333771462062828        -0.41819386008341175      1.242080026460436         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5730.1089939454105    All      3.434948606623202         -0.4293090205738537       0.4248689673119324        -1.2397558888193227       
Check         All|All|All                            All                   All      0.997847512764519         1.004068125632429         0.00667510722852066       0.0023241376411131665     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4785.055751735302     All      -0.0007205273339650754    9.20007471960766e-05      -0.001529452454202101     0.00019641468890405997    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5730.1089939454105    All      -0.0010856006392354566    -3.123179875322773e-05    -0.0010846979549375974    0.0002950375311582339     
MWEBV         All|All|All                            All                   All      -0.32138352643924906      -2.6668749783731016       -0.0034584433225485003    -0.764158064713043        
Redshift      All|All|All                            All                   All      5.536348864814727         2.2607993663037007        9.500804231536014         -0.6429769768047532       
