#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4840.909628048211    All      -1.1524781441119392       1.340019430562478          -0.11181048894228773       0.8068988722115061         
Zeropoint     AB|PS|PS_r                6147.626598033022    All      1.2698141096410382        -0.13267340263638516       -0.26250250089145943       -0.46855060420180894       
Zeropoint     AB|PS|PS_z                8557.394123088186    All      0.3688137592129531        -0.11104268995598687       -0.05860258796568374       -0.15892019665154355       
Zeropoint     AB|PS|PS_i                7446.10724290633     All      0.5131901460489207        -0.0965735059509143        0.43937909094875494        -0.17901261125076728       
Check         All|All|All               All                  All      0.999339870790973         0.9997298320191916         0.006463513149324029       0.0004154601073863562      
Lambda        AB|PS|PS_g                4840.909628048211    All      -0.0004583137131519867    0.00022143479460376607     -0.0018214439547734626     0.00014013377392566397     
Lambda        AB|PS|PS_r                6147.626598033022    All      0.0001612918400140757     -9.820767682592098e-06     -3.754658317458535e-05     -5.7412537326249506e-05    
Lambda        AB|PS|PS_z                8557.394123088186    All      0.00031210168694443       -9.466319034552185e-05     -9.011251890471608e-06     -0.00013289883348499885    
Lambda        AB|PS|PS_i                7446.10724290633     All      -6.627765139457436e-06    -2.3918372481886816e-07    -4.6557389871142506e-05    3.328665241708005e-09      
MWEBV         All|All|All               All                  All      -0.7166205466079263       -4.116071858059289         0.030863101471867438       -1.1059358522963247        
Redshift      All|All|All               All                  All      3.8224187814337154        1.133770120268629          8.267680862654014          -0.5068326980395721        
