#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4840.909628048211    All      -1.1456160180502397       1.28512209751106          -0.24946415846765715       0.7806389335020296         
Zeropoint     AB|PS|PS_r                6147.626598033022    All      1.2813762363167271        -0.0843818544336905       0.04348230630263379        -0.4429319266407026        
Zeropoint     AB|PS|PS_z                8557.394123088186    All      0.3794201383119771        -0.10409248813703087      0.009517026676192874       -0.1570712683369282        
Zeropoint     AB|PS|PS_i                7446.10724290633     All      0.483837780967896         -0.09725080935680808      0.1984599815237779         -0.1804233136338588        
Check         All|All|All               All                  All      0.9990181375463604        0.9993969455835305        0.001995156034947404       0.0002124248905400472      
Lambda        AB|PS|PS_g                4840.909628048211    All      -0.0004052675581403752    -5.470592225421168e-05    -0.0026255467278287845     -2.9766338196677487e-06    
Lambda        AB|PS|PS_r                6147.626598033022    All      -0.0001885346634175099    -7.135930144261037e-06    -0.0003067917622686762     4.539682796170691e-05      
Lambda        AB|PS|PS_z                8557.394123088186    All      0.00033203831748312523    -9.545320891626148e-05    -2.8405534993723344e-05    -0.00014051566276662112    
Lambda        AB|PS|PS_i                7446.10724290633     All      -7.795112186948536e-05    1.7566357393969603e-06    -0.00018009740002855945    1.7926519154713245e-05     
MWEBV         All|All|All               All                  All      -0.7106086139161079       -4.116661878649985        0.022218896438366543       -1.108472076847499         
Redshift      All|All|All               All                  All      4.98280958122682          2.012503923667097         9.771640354083766          -0.5314628433388425        
