#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5242.2300226099815    All      0.5635306524968143         0.3167599578485891        -0.36580114682199544       -0.09670535888040345      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7204.682486663803     All      0.4743906483706796         -0.08867175461038102      0.4682959087292547         -0.16251005325249276      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4183.126995047268     All      -0.6233540546484961        0.32574586502480685       -0.08459256379855573       0.30537809069475597       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4503.972506259729     All      -0.6948015883716951        0.4987962429030546        0.17742121724500515        0.3967115759079204        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5937.224801131        All      1.278944948611271          -0.05558079486611689      -0.19155472834353454       -0.4432471469903753       
Check         All|All|All                      All                   All      0.9987106064585738         0.9970495162999526        0.003768687010174132       -0.0003728925205951916    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5242.2300226099815    All      0.00017933047140865864     5.0884761809487376e-05    -0.0006247023800160045     -6.971659142063971e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7204.682486663803     All      -0.00028459676371678255    5.973238192419525e-05     -0.00028064743911351624    9.963532458710949e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4183.126995047268     All      -0.00034864332971693246    0.00013071255943156287    -0.0006081367432172775     0.0001290036336572405     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4503.972506259729     All      -0.0001581291598222899     -1.593432125182457e-05    -0.0012455929083082173     -9.267553702853571e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5937.224801131        All      -0.00021253820890567018    5.229520448406944e-05     -0.0006059859727019761     5.92225847327586e-05      
MWEBV         All|All|All                      All                   All      -0.8084102924343868        -3.88165213663072         0.054034466710086486       -0.9986446652303099       
Redshift      All|All|All                      All                   All      6.861206564323901          -1.550308425649316        5.233756353059145          -2.506348654594174        
