#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5242.2300226099815    All      0.624351607748406          0.29640471110088384        -0.197044903021254         -0.11561630239786125       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7204.682486663803     All      0.7302951735126588         -0.12776235239728706       0.6348544241744192         -0.2511669282729806        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4183.126995047268     All      -0.8199135929600647        0.37441883233064743        -0.3807591564297441        0.3720418308989698         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4503.972506259729     All      -0.788622158474028         0.5376162751030478         0.49652912133617555        0.45415730397398435        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5937.224801131        All      1.234477380742413          -0.08240044792264811       -0.6591368036951095        -0.4583646810329939        
Check         All|All|All                      All                   All      0.980588410569385          0.9982770182146439         -0.1055573176355129        0.0010512231691184315      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5242.2300226099815    All      0.00023205358866400203     5.615693894328936e-05      0.0002788990421749789      -4.4849342326625594e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7204.682486663803     All      -0.00019918668256376008    4.03567823495506e-05       -0.00045740561998389655    5.7615275236324715e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4183.126995047268     All      -0.0004294861778056348     0.00012507813993692157     -0.0006648195333649144     0.0001509720005444831      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4503.972506259729     All      -8.18201909940731e-05      -5.75110700290444e-05      -0.0013801877336996418     -5.367315913740138e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5937.224801131        All      -0.00014413358608198786    -1.4093781958888847e-05    -1.6550270352466545e-05    4.1619679832186025e-05     
MWEBV         All|All|All                      All                   All      -0.8465648090870719        -3.8750044771898473        -0.013657438228498187      -0.9870719013485602        
Redshift      All|All|All                      All                   All      5.545899852905441          -1.321710725757086         -5.60679763032545          -2.487212330298734         
