#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3836.864980654113    All      -3.0374873540415637        0.19788987516058398        -0.7497951218931487       1.0204088916947187        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4594.649608048393    All      4.0265558242947375         0.8033248767043588         0.7540221124943347        -1.0162638169963047       
Check         All|All|All                            All                  All      0.9890684702531745         1.0012147518649428         0.004226990601186031      0.004145074698413964      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3836.864980654113    All      -0.0024785716195089365     7.341138397984425e-05      -0.0024812747203339968    0.0007205369272974018     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4594.649608048393    All      -0.00045447696032807606    -0.00013016294017682598    -0.0014968529597800362    3.8842073179604275e-05    
MWEBV         All|All|All                            All                  All      -0.16470620789447743       -1.884938835663874         0.05627920795188146       -0.5578248782670974       
Redshift      All|All|All                            All                  All      10.776604200715623         1.165941201461962          6.455914259853346         -2.8424113178025254       
